,City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
0,Rikitea,97,PF,1603908304,83,-23.12,-134.97,74.71,13.96
1,Mahébourg,67,MU,1603908305,73,-20.41,57.7,73.0,5.01
2,Iqaluit,90,CA,1603908305,61,63.75,-68.51,17.6,9.17
3,Albany,100,US,1603908095,87,42.6,-73.97,48.99,1.1
4,Ostër,0,UA,1603908046,100,50.95,30.88,52.0,4.47
5,Hobart,90,AU,1603908305,87,-42.88,147.33,50.0,3.09
6,Ribeira Grande,75,PT,1603908305,72,38.52,-28.7,68.0,12.75
7,Mar del Plata,90,AR,1603908306,55,-38.0,-57.56,64.0,11.41
8,Tarko-Sale,0,RU,1603908306,90,64.92,77.78,-2.63,11.01
9,Hermanus,89,ZA,1603908306,63,-34.42,19.23,64.0,13.94
10,Lompoc,1,US,1603908306,27,34.64,-120.46,66.2,5.82
11,Carberry,90,CA,1603908306,80,49.87,-99.36,30.2,13.87
12,Cidreira,98,BR,1603907934,74,-30.18,-50.21,70.93,13.96
13,Havre-St-Pierre,40,CA,1603908306,68,50.23,-63.6,28.4,6.93
14,Chui,98,UY,1603908307,85,-33.7,-53.46,67.93,10.16
15,Busselton,0,AU,1603908307,49,-33.65,115.33,55.99,12.28
16,Ca Mau,98,VN,1603908307,90,9.18,105.15,76.66,6.53
17,Mataura,93,NZ,1603908307,89,-46.19,168.86,48.0,3.0
18,Port Alfred,63,ZA,1603907934,89,-33.59,26.89,64.17,0.63
19,George Town,20,MY,1603908307,83,5.41,100.34,80.6,3.36
20,Bambous Virieux,65,MU,1603908307,73,-20.34,57.76,73.0,5.01
21,São João da Barra,20,BR,1603908307,59,-21.64,-41.05,89.6,13.87
22,Tilichiki,0,RU,1603908308,90,60.47,166.1,20.82,7.2
23,Pīlibhīt,0,IN,1603908308,49,28.63,79.8,67.06,3.44
24,Sola,3,VU,1603908308,80,-13.88,167.55,80.02,18.1
25,Airai,66,TL,1603908308,80,-8.93,125.41,59.83,2.64
